PIR	SIZE	RNA_OVERLAP	promoter_genes	TPMs	ENCODE_merged
6_27123819_27124970	1151	noRNA	HIST1H2APS3;HIST1H3E;HIST1H4H;HIST1H3H;HIST1H4J;HIST1H2AK;HIST1H2BN	0;1.09701;1.71171;2.41625;20.0193;0.767721;1.609194	0
6_27124989_27127846	2857	noRNA	HIST1H1PS1;HIST1H4D;HIST1H2AD;HIST1H3D;HIST1H2APS3;HIST1H3E;HIST1H4F;HIST1H4G;HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H4H;HCG11;RNU6-502P;RNU6-471P;TRNAI6;HIST1H2AI;HIST1H2BL;HIST1H4PS1;HIST1H3H;HIST1H4K	0.843135;1.00663;0.384803;0.457086;0;1.09701;0;0;1.54951;0.509221;1.65325;1.71171;NA;NA;NA;NA;1.27224;0.611411;0;2.41625;0	1
6_27127847_27128724	877	noRNA	HIST1H2AI;HIST1H2BL;HIST1H4PS1;HIST1H3H	1.27224;0.611411;0;2.41625	0
6_27128725_27131370	2645	noRNA	HIST1H4F;HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H4H;ZNF184;RNU6-471P;TRNAI6;HIST1H2AI;HIST1H2BL;HIST1H4PS1;HIST1H3H;HIST1H4K;HIST1H1B;HIST1H2AM;HIST1H3J	0;1.54951;0.509221;1.65325;1.71171;5.55287;NA;NA;1.27224;0.611411;0;2.41625;0;0.523624;2.49278;0.72589	1
6_27131371_27131711	340	noRNA	HIST1H3H	2.41625	0
6_27132928_27144206	11278	noRNA	HIST1H4H;ZNF322;ZNF391;HIST1H2AI;HIST1H2BL;HIST1H4PS1;HIST1H3H	1.71171;10.7016743781857;8.01326;1.27224;0.611411;0;2.41625	0
6_27144207_27145360	1153	noRNA	HIST1H3H	2.41625	0
6_27145593_27153274	7681	noRNA	HIST1H4F;HIST1H4H;TRNAI6;HIST1H3H;HIST1H2AL;HIST1H2BPS2	0;1.71171;NA;2.41625;0.310148;0.113722	1
6_27153275_27164079	10804	RNA	HIST1H2BF;HIST1H4E;RP1-34B20.4;TRNAI6;HIST1H2AI;HIST1H2BL;HIST1H4PS1;HIST1H3H	1.39549;0.629146;1.14529;NA;1.27224;0.611411;0;2.41625	1
6_27164957_27167273	2316	noRNA	HIST1H2AI;HIST1H2BL;HIST1H4PS1	1.27224;0.611411;0	0
6_27171634_27174113	2479	noRNA	HIST1H2AL;HIST1H2BPS2	0.310148;0.113722	0
6_27175018_27177272	2254	noRNA	TRNAI6;HIST1H2AI;HIST1H2BL;HIST1H4PS1	NA;1.27224;0.611411;0	0
6_27177273_27180936	3663	RNA	HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H4H;RNU6-471P;TRNAI6;HIST1H2AI;HIST1H2BL;HIST1H4PS1;HIST1H3H;HIST1H2AM;HIST1H3J	1.54951;0.509221;1.65325;1.71171;NA;NA;1.27224;0.611411;0;2.41625;2.49278;0.72589	1
6_27180937_27182552	1615	noRNA	TRNAI6;HIST1H3H	NA;2.41625	1
6_27191156_27192402	1246	RNA	RNU7-26P	NA	0
6_27194892_27200004	5112	noRNA	HIST1H2APS4;HIST1H2BI;HIST1H3G;ZNF184;RNU6-471P;TRNAI6;HIST1H2AI;HIST1H2BL;HIST1H4PS1;HIST1H3H	1.54951;0.509221;1.65325;5.55287;NA;NA;1.27224;0.611411;0;2.41625	0
6_27200005_27202584	2579	noRNA	HIST1H3F;RNU6-471P;TRNAI6;HIST1H2AI;HIST1H2BL;HIST1H4PS1;HIST1H3H	0.846472;NA;NA;1.27224;0.611411;0;2.41625	0
6_27202585_27203109	524	noRNA	ABT1	22.9938	0
6_27203110_27209242	6132	noRNA	HIST1H2BF;HIST1H4E;RP1-34B20.4;HIST1H2APS4;HIST1H2BI;HIST1H3G;HMGN4;TRNAI6	1.39549;0.629146;1.14529;1.54951;0.509221;1.65325;61.13115;NA	1
6_27209243_27211021	1778	noRNA	OR2B2	0.0399151	0
6_27211022_27213973	2951	noRNA	HIST1H2APS4;HIST1H2BI;HIST1H3G	1.54951;0.509221;1.65325	0
6_27220620_27222396	1776	noRNA	HIST1H4H	1.71171	0
6_27226868_27236303	9435	RNA	HIST1H2APS4;HIST1H2BI;HIST1H3G;TRNAI6	1.54951;0.509221;1.65325;NA	0
6_27236304_27242186	5882	RNA	HMGN4;ZNF184;RNU6-471P;TRNAI6	61.13115;5.55287;NA;NA	1
6_27242615_27248231	5616	RNA	HIST1H2AD;HIST1H3D;HIST1H4H;HMGN4;ZNF184;RNU6-471P;TRNAI6;HIST1H3H;HIST1H4K	0.384803;0.457086;1.71171;61.13115;5.55287;NA;NA;2.41625;0	0
6_27248232_27253387	5155	noRNA	BTN2A1;TRNAI6	8.874688;NA	0
6_27254254_27261047	6793	noRNA	HIST1H2BH;RNU6-471P;TRNAI6	6.57874;NA;NA	0
6_27262067_27264263	2196	noRNA	RNU6-471P;TRNAI6	NA;NA	0
6_27264264_27270682	6418	noRNA	ZNF184;TRNAI6	5.55287;NA	0
6_27287768_27302123	14355	RNA	ZNF184;HIST1H2AL;HIST1H2BPS2	5.55287;0.310148;0.113722	0
6_27302124_27304772	2648	noRNA	HIST1H4G	0	0
6_27304773_27307052	2279	noRNA	ZNF391	8.01326	0
6_27339610_27341246	1636	noRNA	HIST1H1PS1;HIST1H4D	0.843135;1.00663	0
6_2735264_2746815	11551	noRNA	LINC01011;NQO2	NA;114.31405	1
6_27442285_27445025	2740	noRNA	PRSS16;POM121L2	10.696200872;0.0540913	0
6_27445135_27447027	1892	RNA	POM121L2;HIST1H3I	0.0540913;0.0914173	0
6_27447028_27450467	3439	noRNA	ABT1;PRSS16;POM121L2	22.9938;10.696200872;0.0540913	0
6_27450468_27455330	4862	noRNA	POM121L2	0.0540913	0
6_27460213_27466339	6126	RNA	HIST1H2AH;HIST1H2BK;MIR3143;POM121L2	0.526692;15.7343;NA;0.0540913	1
6_27466340_27467554	1214	noRNA	POM121L2	0.0540913	0
6_27467775_27472148	4373	RNA	HIST1H4H;HIST1H2AG;HIST1H2BJ;POM121L2;TRNAI6	1.71171;2.28533;6.072379;0.0540913;NA	0
6_2746830_2750824	3994	RNA	SERPINB6;BPHL	32.824402;40.6647495	1
6_27472149_27473713	1564	noRNA	POM121L2;HIST1H2AI;HIST1H2BL;HIST1H4PS1	0.0540913;1.27224;0.611411;0	0
6_27477682_27486664	8982	RNA	HIST1H2AH;HIST1H2BK;MIR3143;PRSS16;POM121L2;HIST1H2AI;HIST1H2BL;HIST1H4PS1	0.526692;15.7343;NA;10.696200872;0.0540913;1.27224;0.611411;0	1
6_27486665_27488729	2064	noRNA	PRSS16;POM121L2	10.696200872;0.0540913	1
6_27488730_27490894	2164	noRNA	HIST1H2AH;HIST1H2BK;MIR3143	0.526692;15.7343;NA	0
6_27500167_27508730	8563	noRNA	PRSS16;POM121L2	10.696200872;0.0540913	0
6_27508731_27509878	1147	noRNA	BTN2A2;BTN1A1	7.20514461;0.0746348	0
6_27509879_27511618	1739	noRNA	HIST1H2AH;HIST1H2BK;MIR3143	0.526692;15.7343;NA	0
6_27513819_27518565	4746	noRNA	HIST1H2APS3;HIST1H3E;HIST1H4H;HIST1H2AH;HIST1H2BK;MIR3143;PRSS16;POM121L2;HIST1H2AM;HIST1H3J	0;1.09701;1.71171;0.526692;15.7343;NA;10.696200872;0.0540913;2.49278;0.72589	0
6_27527092_27537844	10752	RNA	HIST1H2AH;HIST1H2BK;MIR3143;POM121L2	0.526692;15.7343;NA;0.0540913	1
6_27537845_27542763	4918	RNA	HIST1H2APS4;HIST1H2BI;HIST1H3G	1.54951;0.509221;1.65325	0
6_27566006_27569829	3823	noRNA	POM121L2	0.0540913	0
6_27569830_27572680	2850	noRNA	HIST1H4H;HMGN4;HIST1H2AH;HIST1H2BK;MIR3143;PRSS16;POM121L2	1.71171;61.13115;0.526692;15.7343;NA;10.696200872;0.0540913	0
6_27573485_27577263	3778	noRNA	HIST1H2APS3;HIST1H3E;HIST1H3F;HIST1H2APS4;HIST1H2BI;HIST1H3G;ZNF322;PRSS16;POM121L2	0;1.09701;0.846472;1.54951;0.509221;1.65325;10.7016743781857;10.696200872;0.0540913	1
6_27577264_27578377	1113	noRNA	POM121L2	0.0540913	1
6_27599539_27608381	8842	noRNA	HIST1H2AH;HIST1H2BK;MIR3143;POM121L2	0.526692;15.7343;NA;0.0540913	0
6_27608382_27609666	1284	noRNA	POM121L2	0.0540913	0
6_27609667_27617489	7822	noRNA	ZNF322;PRSS16;POM121L2	10.7016743781857;10.696200872;0.0540913	0
6_27633624_27638134	4510	RNA	HMGN4;PRSS16;POM121L2	61.13115;10.696200872;0.0540913	0
6_27638152_27641663	3511	noRNA	HIST1H2APS3;HIST1H3E;HIST1H4H;HMGN4;HIST1H2AH;HIST1H2BK;MIR3143;PRSS16;POM121L2	0;1.09701;1.71171;61.13115;0.526692;15.7343;NA;10.696200872;0.0540913	0
6_27642127_27646398	4271	noRNA	POM121L2	0.0540913	0
6_27646399_27651956	5557	noRNA	RNU2-62P	NA	0
6_27651957_27655683	3726	noRNA	HIST1H2AH;HIST1H2BK;MIR3143;PRSS16	0.526692;15.7343;NA;10.696200872	1
6_27655684_27661857	6173	RNA	HIST1H4H;HMGN4;RNU2-62P;HIST1H2AH;HIST1H2BK;MIR3143;PRSS16;POM121L2	1.71171;61.13115;NA;0.526692;15.7343;NA;10.696200872;0.0540913	0
6_27661858_27664055	2197	RNA	HIST1H2AH;HIST1H2BK;MIR3143;PRSS16	0.526692;15.7343;NA;10.696200872	0
6_27664056_27670212	6156	RNA	HIST1H2AH;HIST1H2BK;MIR3143;PRSS16	0.526692;15.7343;NA;10.696200872	0
6_27671174_27675452	4278	RNA	PRSS16	10.696200872	1
6_27686017_27693048	7031	RNA	HIST1H2AH;HIST1H2BK;MIR3143;POM121L2	0.526692;15.7343;NA;0.0540913	0
6_27693049_27696933	3884	noRNA	HIST1H2AH;HIST1H2BK;MIR3143;POM121L2	0.526692;15.7343;NA;0.0540913	0
6_27696934_27709989	13055	RNA	HIST1H4H;BTN2A2;HIST1H2AH;HIST1H2BK;MIR3143;PRSS16;POM121L2	1.71171;7.20514461;0.526692;15.7343;NA;10.696200872;0.0540913	0
6_27709990_27716577	6587	noRNA	HIST1H2APS4;HIST1H2BI;HIST1H3G;RNU2-62P;PRSS16;POM121L2	1.54951;0.509221;1.65325;NA;10.696200872;0.0540913	0
6_27716578_27721263	4685	noRNA	HIST1H2APS4;HIST1H2BI;HIST1H3G;HMGN4;HIST1H2AH;HIST1H2BK;MIR3143	1.54951;0.509221;1.65325;61.13115;0.526692;15.7343;NA	1
6_27721264_27722678	1414	noRNA	HIST1H4H;HIST1H2AH;HIST1H2BK;MIR3143;PRSS16	1.71171;0.526692;15.7343;NA;10.696200872	1
6_27722679_27724549	1870	noRNA	HIST1H2AH;HIST1H2BK;MIR3143	0.526692;15.7343;NA	0
6_27724750_27726882	2132	noRNA	HIST1H4F;HIST1H2AH;HIST1H2BK;MIR3143;PRSS16;POM121L2	0;0.526692;15.7343;NA;10.696200872;0.0540913	0
6_27726883_27732725	5842	noRNA	HIST1H4H;HIST1H2AH;HIST1H2BK;MIR3143	1.71171;0.526692;15.7343;NA	0
6_27732726_27733882	1156	noRNA	RNU2-62P;POM121L2	NA;0.0540913	0
6_27733883_27737518	3635	noRNA	HIST1H2AH;HIST1H2BK;MIR3143	0.526692;15.7343;NA	0
6_27739455_27743888	4433	noRNA	PRSS16	10.696200872	1
6_27744484_27747464	2980	noRNA	HIST1H2APS4;HIST1H2BI;HIST1H3G;RNU2-62P;HIST1H2AH;HIST1H2BK;MIR3143	1.54951;0.509221;1.65325;NA;0.526692;15.7343;NA	0
6_27749048_27750505	1457	noRNA	HIST1H1E;HIST1H2BD	0.216648;5.07612	0
6_27750506_27753202	2696	RNA	HIST1H2AD;HIST1H3D;HIST1H2AH;HIST1H2BK;MIR3143	0.384803;0.457086;0.526692;15.7343;NA	0
6_27753203_27756869	3666	noRNA	HIST1H4H;RNU2-62P;HIST1H2AH;HIST1H2BK;MIR3143	1.71171;NA;0.526692;15.7343;NA	0
6_27756870_27767298	10428	RNA	HIST1H4C;HIST1H2APS3;HIST1H3E;HIST1H4H;HIST1H2AH;HIST1H2BK;MIR3143	0.600133;0;1.09701;1.71171;0.526692;15.7343;NA	1
6_27767917_27770374	2457	noRNA	HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H2AH;HIST1H2BK;MIR3143	1.54951;0.509221;1.65325;0.526692;15.7343;NA	0
6_27776274_27776623	349	noRNA	HIST1H1PS1;HIST1H4D;HIST1H2AD;HIST1H3D;HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H4H;HIST1H2AH;HIST1H2BK;MIR3143	0.843135;1.00663;0.384803;0.457086;1.54951;0.509221;1.65325;1.71171;0.526692;15.7343;NA	0
6_27786656_27789605	2949	noRNA	HIST1H3B;HIST1H2AB;HIST1H1E;HIST1H2BD;HIST1H2BE;LARP1P1;HIST1H2AD;HIST1H3D;HIST1H2AE;HIST1H2BG;HIST1H2APS3;HIST1H3E;HIST1H4F;HIST1H3F;HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H2AH;HIST1H2BK;MIR3143;HIST1H4J;HIST1H4K;HIST1H1B	0.914173;0.384989;0.216648;5.07612;0.518784;0;0.384803;0.457086;1.92401;1.48963;0;1.09701;0;0.846472;1.54951;0.509221;1.65325;0.526692;15.7343;NA;20.0193;0;0.523624	1
6_27789606_27789780	174	noRNA	HIST1H2AD;HIST1H3D;HIST1H4J	0.384803;0.457086;20.0193	0
6_27789802_27790514	712	noRNA	HIST1H1E;HIST1H2BD;HIST1H2BE;LARP1P1;HIST1H2AD;HIST1H3D;HIST1H2BF;HIST1H4E;RP1-34B20.4;HIST1H2APS3;HIST1H3E;HIST1H3F;HIST1H2AH;HIST1H2BK;MIR3143;HIST1H4J	0.216648;5.07612;0.518784;0;0.384803;0.457086;1.39549;0.629146;1.14529;0;1.09701;0.846472;0.526692;15.7343;NA;20.0193	0
6_27790515_27790965	450	noRNA	HIST1H2BF;HIST1H4E;RP1-34B20.4;HIST1H2APS3;HIST1H3E;HIST1H4F;HIST1H2AH;HIST1H2BK;MIR3143	1.39549;0.629146;1.14529;0;1.09701;0;0.526692;15.7343;NA	0
6_27801292_27802108	816	noRNA	HIST1H2APS3;HIST1H3E;HIST1H1D;HIST1H4G;HIST1H2AH;HIST1H2BK;MIR3143;HIST1H1B;HIST1H2AM;HIST1H3J	0;1.09701;0.107271;0;0.526692;15.7343;NA;0.523624;2.49278;0.72589	0
6_27819340_27821133	1793	noRNA	HIST1H2APS3;HIST1H3E;HIST1H4F;HIST1H2AH;HIST1H2BK;MIR3143;HIST1H2AL;HIST1H2BPS2	0;1.09701;0;0.526692;15.7343;NA;0.310148;0.113722	0
6_27821134_27826102	4968	noRNA	HIST1H2BF;HIST1H4E;RP1-34B20.4;HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H2AK;HIST1H2BN;HIST1H1B	1.39549;0.629146;1.14529;1.54951;0.509221;1.65325;0.767721;1.609194;0.523624	0
6_27826155_27826625	470	noRNA	HIST1H2AD;HIST1H3D	0.384803;0.457086	0
6_27827418_27829815	2397	RNA	HIST1H1E;HIST1H2BD;HIST1H2AD;HIST1H3D;HIST1H2BF;HIST1H4E;RP1-34B20.4;HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H2AH;HIST1H2BK;MIR3143;HIST1H4K;HIST1H2AK;HIST1H2BN	0.216648;5.07612;0.384803;0.457086;1.39549;0.629146;1.14529;1.54951;0.509221;1.65325;0.526692;15.7343;NA;0;0.767721;1.609194	0
6_27845140_27849444	4304	RNA	HIST1H1C;HIST1H2AH;HIST1H2BK;MIR3143	21.9318;0.526692;15.7343;NA	0
6_27849445_27852998	3553	noRNA	HIST1H2BE;LARP1P1;HIST1H1PS1;HIST1H4D;HIST1H2BF;HIST1H4E;RP1-34B20.4;HIST1H2AG;HIST1H2BJ;HIST1H2AH;HIST1H2BK;MIR3143;HIST1H4L	0.518784;0;0.843135;1.00663;1.39549;0.629146;1.14529;2.28533;6.072379;0.526692;15.7343;NA;0.125829	0
6_27852999_27857590	4591	noRNA	HIST1H2BE;LARP1P1;HIST1H1PS1;HIST1H4D;HIST1H2AD;HIST1H3D;HIST1H2BF;HIST1H4E;RP1-34B20.4;HIST1H2APS3;HIST1H3E;HIST1H4F;HIST1H2APS4;HIST1H2BI;HIST1H3G;HIST1H4H;HIST1H2AH;HIST1H2BK;MIR3143;HIST1H3H;HIST1H4J;HIST1H4K;HIST1H2AK;HIST1H2BN;HIST1H1B;HIST1H3I;HIST1H4L	0.518784;0;0.843135;1.00663;0.384803;0.457086;1.39549;0.629146;1.14529;0;1.09701;0;1.54951;0.509221;1.65325;1.71171;0.526692;15.7343;NA;2.41625;20.0193;0;0.767721;1.609194;0.523624;0.0914173;0.125829	0
6_27857722_27858119	397	noRNA	HIST1H2AB;HIST1H2BF;HIST1H4E;RP1-34B20.4;HIST1H2APS3;HIST1H3E;HIST1H2AH;HIST1H2BK;MIR3143;HIST1H4J;HIST1H4K;HIST1H1B;HIST1H3I	0.384989;1.39549;0.629146;1.14529;0;1.09701;0.526692;15.7343;NA;20.0193;0;0.523624;0.0914173	0
6_27865484_27866068	584	noRNA	HIST1H2APS3;HIST1H3E	0;1.09701	0
6_27866195_27879133	12938	RNA	HIST1H4F;HIST1H2BO;ZKSCAN3;ZSCAN31	0;1.07133;6.650733;3.59993358	0
6_27892496_27901921	9425	RNA	ZKSCAN8	10.87903	0
6_27930453_27937048	6595	RNA	ZNF391;RP1-313I6.12;ZNF165;ZSCAN16	8.01326;NA;3.19996;5.71819	0
6_27939187_27941232	2045	noRNA	ZKSCAN3;ZSCAN31	6.650733;3.59993358	0
6_27948282_27953621	5339	noRNA	NKAPL;ZKSCAN4	0;4.82394	0
6_2795517_2811016	15499	RNA	SERPINB1	19.43694	0
6_27972361_27978143	5782	RNA	HIST1H2APS3;HIST1H3E	0;1.09701	0
6_28001004_28007927	6923	RNA	OR2B6	0.0591914	0
6_28039185_28043298	4113	RNA	OR2B6	0.0591914	0
6_28052835_28056842	4007	noRNA	HIST1H4J;ZKSCAN3;ZSCAN31	20.0193;6.650733;3.59993358	0
6_28065097_28073708	8611	RNA	HIST1H1B;PGBD1	0.523624;8.21089	1
6_28073709_28082371	8662	RNA	RNU7-26P;RNU2-45P	NA;NA	0
6_28097824_28105955	8131	RNA	HIST1H2BO;ZKSCAN8;ZSCAN9;ZKSCAN3;ZSCAN31;ZSCAN12	1.07133;10.87903;12.753561;6.650733;3.59993358;6.690808	1
6_28124535_28132616	8081	RNA	ZKSCAN3;ZSCAN31;ZSCAN12	6.650733;3.59993358;6.690808	1
6_28156062_28165230	9168	RNA	HIST1H2AK;HIST1H2BN;U3	0.767721;1.609194;NA	0
6_28178561_28188154	9593	RNA	HIST1H2AM;HIST1H3J;HIST1H2BO;RNU7-26P;ZKSCAN8;ZSCAN9;ZKSCAN3;ZSCAN31	2.49278;0.72589;1.07133;NA;10.87903;12.753561;6.650733;3.59993358	1
6_28201775_28206482	4707	noRNA	OR2J3	0	0
6_28216179_28220100	3921	RNA	OR2B2;ZKSCAN8;ZSCAN9	0.0399151;10.87903;12.753561	0
6_28233614_28235580	1966	noRNA	ZKSCAN8	10.87903	0
6_28235581_28240211	4630	noRNA	HIST1H2AM;HIST1H3J;ZSCAN16;ZKSCAN8	2.49278;0.72589;5.71819;10.87903	0
6_28240212_28243998	3786	noRNA	PGBD1	8.21089	0
6_28300326_28306626	6300	noRNA	RP1-313I6.12;ZNF165	NA;3.19996	0
6_28309143_28310746	1603	noRNA	ZKSCAN8	10.87903	0
6_28346712_28348517	1805	noRNA	HIST1H2AK;HIST1H2BN	0.767721;1.609194	0
6_28350057_28352083	2026	noRNA	ZSCAN16;ZKSCAN8;ZSCAN9	5.71819;10.87903;12.753561	1
6_28352084_28354074	1990	noRNA	ZSCAN16	5.71819	0
6_28371450_28376676	5226	noRNA	ZKSCAN8	10.87903	0
6_2842326_2847609	5283	RNA	LINC01011;NQO2;FAM136BP;SERPINB8P1	NA;114.31405;0.102588;0.100893	1
6_28444351_28462282	17931	RNA	HIST1H2APS3;HIST1H3E	0;1.09701	0
6_2848906_2866350	17444	RNA	LINC01011;NQO2;PSMG4;TUBB2B	NA;114.31405;48.465314;1029.32	1
6_28510326_28514801	4475	noRNA	ZSCAN16;ZSCAN12	5.71819;6.690808	1
6_28564068_28568068	4000	noRNA	HIST1H2AM;HIST1H3J	2.49278;0.72589	0
6_28571808_28574164	2356	RNA	HIST1H4J;OR2B2	20.0193;0.0399151	0
6_28581421_28584332	2911	noRNA	ZSCAN12	6.690808	0
6_28597301_28603545	6244	RNA	HIST1H2AL;HIST1H2BPS2	0.310148;0.113722	0
6_28635653_28642194	6541	noRNA	GPX5;NA	0.0873168;NA	0
6_28642195_28651300	9105	noRNA	ZKSCAN8	10.87903	0
6_28662166_28664631	2465	noRNA	HCG15;HCG16	NA;NA	0
6_2866351_2868903	2552	noRNA	RP1-90J20.10;SERPINB9;LINC01011;NQO2	0;36.9559;NA;114.31405	0
6_28670601_28673861	3260	noRNA	GPX5;ECI2;RP3-400B16.4	0.0873168;75.5773799003469;NA	0
6_28684753_28691175	6422	RNA	HIST1H2AL;HIST1H2BPS2	0.310148;0.113722	0
6_28691176_28694513	3337	noRNA	NKAPL;ZKSCAN4	0;4.82394	0
6_28706312_28709190	2878	RNA	HMGN4	61.13115	0
6_28718315_28725081	6766	RNA	HIST1H1B;HCG15;HCG16	0.523624;NA;NA	0
6_28763346_28774163	10817	noRNA	TRNAI6	NA	0
6_28774164_28779454	5290	RNA	HCG15;HCG16	NA;NA	1
6_28782538_28794509	11971	noRNA	HMGN4	61.13115	0
6_28801153_28810059	8906	RNA	HCG15;HCG16	NA;NA	1
6_28858759_28861621	2862	noRNA	HIST1H2AB	0.384989	0
6_28875916_28879792	3876	RNA	HCG14	NA	0
6_28895835_28904852	9017	noRNA	HIST1H4C	0.600133	0
6_28907076_28908865	1789	noRNA	HIST1H2APS3;HIST1H3E	0;1.09701	0
6_28914025_28921874	7849	RNA	HIST1H2APS4;HIST1H2BI;HIST1H3G	1.54951;0.509221;1.65325	0
6_28926760_28950458	23698	RNA	HIST1H2APS3;HIST1H3E	0;1.09701	1
6_28975334_28989252	13918	RNA	COX11P1;OR2E1P;ZSCAN23;OR11A1;OR2H1	0.0969228;0;2.1327074;0.015308;0	1
6_2899384_2900670	1286	noRNA	HIST1H3H	2.41625	0
6_28994353_28995801	1448	RNA	RPL13AP;SNORD32B	0.1411221;NA	0
6_28998991_29003319	4328	noRNA	OR2H2	0.729319	0
6_29003320_29007921	4601	RNA	LINC01015	NA	0
6_29036207_29048227	12020	RNA	OR2H2	0.729319	1
6_29048228_29050713	2485	noRNA	OR14J1	0	0
6_29055199_29061132	5933	noRNA	LINC01015	NA	0
6_29072160_29075147	2987	noRNA	LINC01015	NA	0
6_29081525_29086795	5270	RNA	OR11A1;OR2H1	0.015308;0	0
6_29094936_29102777	7841	RNA	OR14J1	0	0
6_29151622_29158048	6426	noRNA	OR2H2	0.729319	0
6_29178111_29181791	3680	RNA	OR2H2	0.729319	0
6_29197377_29200007	2630	RNA	OR2H2	0.729319	0
6_29231100_29240336	9236	RNA	OR2B3	0	0
6_2930699_2934324	3625	noRNA	SERPINB1	19.43694	1
6_29329461_29336201	6740	noRNA	OR2W1	0	0
6_29336202_29337052	850	noRNA	OR2H2	0.729319	0
6_29337053_29343884	6831	noRNA	UBD;OR2H2	0;0.729319	1
6_29343885_29350048	6163	noRNA	UBD;OR2H2	0;0.729319	1
6_29350049_29353336	3287	noRNA	OR2J1	0	0
6_29356503_29364331	7828	RNA	OR2W1;LINC01015;OR2H2;MOG	0;NA;0.729319;1.37487506587851	0
6_29379457_29388185	8728	RNA	OR2H2	0.729319	1
6_29388186_29399324	11138	RNA	OR2H2	0.729319	0
6_29409820_29413854	4034	noRNA	OR2H2	0.729319	0
6_2944947_2950166	5219	RNA	PSMG4;TUBB2B	48.465314;1029.32	0
6_29511280_29516674	5394	RNA	OR14J1	0	0
6_29517513_29520791	3278	noRNA	OR5V1	0	0
6_29520792_29523617	2825	RNA	OR11A1;OR2H1	0.015308;0	1
6_2952441_2953765	1324	noRNA	LINC01011;NQO2	NA;114.31405	1
6_29550566_29554356	3790	RNA	OR12D2;OR5V1	0;0	0
6_29556423_29558119	1696	noRNA	OR5V1	0	1
6_29558138_29559091	953	noRNA	OR5V1	0	0
6_29559092_29561672	2580	noRNA	OR5V1	0	0
6_29566610_29579109	12499	RNA	HCG14;OR5V1;OR10C1	NA;0;0	1
6_29579110_29579590	480	noRNA	NA	NA	0
6_29582104_29592571	10467	RNA	OR5V1	0	1
6_29634928_29643224	8296	RNA	ZNRD1-AS1;ZNRD1	NA;31.0727808	0
6_29664803_29689236	24433	RNA	PPP1R11	22.75537143	1
6_29696014_29703676	7662	RNA	TRIM31-AS1;TRIM31	NA;0.1414234	0
6_29703677_29708125	4448	RNA	ZNRD1-AS1;ZNRD1	NA;31.0727808	1
6_29708126_29719233	11107	RNA	GABBR1;SUMO2P1	55.9246896848;5.444224	0
6_29758545_29766086	7541	RNA	PPP1R11	22.75537143	1
6_29800765_29808761	7996	RNA	MOG	1.37487506587851	1
6_29811163_29818783	7620	RNA	GABBR1;SUMO2P1;TRIM31-AS1;TRIM31	55.9246896848;5.444224;NA;0.1414234	1
6_29818784_29824157	5373	RNA	OR12D2;PPP1R11	0;22.75537143	1
6_29930385_29936758	6373	RNA	GABBR1;SUMO2P1;HCG4P11;HLA-F	55.9246896848;5.444224;0;4.4644419	0
6_29936759_29945372	8613	RNA	LINC01015	NA	1
6_29962202_29965802	3600	RNA	SH3BGRL2	9.48083	0
6_29972902_29978598	5696	RNA	HCG4P11;HLA-F	0;4.4644419	0
6_2997458_3011758	14300	RNA	SERPINB1	19.43694	1
6_30027213_30029493	2280	RNA	PPP1R11	22.75537143	0
6_30029494_30033966	4472	RNA	PPP1R11	22.75537143	0
6_30034634_30038373	3739	RNA	GABBR1;SUMO2P1	55.9246896848;5.444224	0
6_30135420_30143341	7921	RNA	LINC01015;TRIM31-AS1;TRIM31	NA;NA;0.1414234	1
6_30145021_30148139	3118	noRNA	HCG17;HCG18;TRIM39	NA;NA;23.799375600306	0
6_30184204_30187106	2902	RNA	HCG17;HCG18;TRIM39;RPP21	NA;NA;23.799375600306;62.955389	1
6_30187107_30193978	6871	RNA	TRIM26;HCG17;HCG18;TRIM39;RPP21	22.5063364;NA;NA;23.799375600306;62.955389	1
6_30202861_30212433	9572	RNA	U3	NA	1
6_30438358_30455604	17246	RNA	AL662800.2;C6orf136	NA;14.83271	1
6_30509423_30512254	2831	noRNA	XXbac-BPG249D20.9;ABCF1;MIR877	NA;111.904158576866;NA	1
6_30562953_30569661	6708	RNA	ABCF1;MIR877	111.904158576866;NA	1
6_30569662_30574121	4459	RNA	ABCF1;MIR877;AL662800.2;C6orf136	111.904158576866;NA;NA;14.83271	0
6_30574122_30580688	6566	RNA	ABCF1;MIR877;TUBB;XXbac-BPG252P9.9	111.904158576866;NA;1783.84983834117;NA	0
6_30620927_30622894	1967	RNA	MDC1-AS1;MDC1;TUBB;XXbac-BPG252P9.9;FLOT1;IER3;XXbac-BPG252P9.10	NA;55.1567547072719;1783.84983834117;NA;175.140651747586;70.9777236;NA	0
6_30622895_30627584	4689	RNA	AL662800.2;C6orf136	NA;14.83271	0
6_30633449_30635594	2145	noRNA	C6orf15	0	0
6_30665185_30669221	4036	RNA	AL662800.2;C6orf136	NA;14.83271	0
